schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind,accuracy_status,accuracy_reason,max_abs_error,max_rel_error,abs_tolerance,rel_tolerance,incorrect_rows
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,HB/bcsstm04,bcsstm04,132,132,132,pass,264,2476.381107000,0.019456000,13.5690792251995,0.0695850216676899,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,6.1163394349250666e-09,5.5376245370304654e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,HB/bcsstm05,bcsstm05,153,153,153,pass,306,2322.047375000,0.017664000,17.3233691808158,0.0888377906708501,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,2.9058831785278016e-08,5.8064051054252132e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,HB/bcsstm22,bcsstm22,138,138,138,pass,276,2342.738588000,0.018688000,14.7688357687276,0.0757376193268082,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,3.3642716390502869e-10,5.6389340753807673e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,HB/can_24,can_24,24,24,160,pass,320,2847.004463000,0.016896000,18.9393937914695,0.0971250963665103,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,3.2782554626464844e-07,8.0647532824443986e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,HB/can_62,can_62,62,62,218,pass,436,3200.934502000,0.020736000,21.0262350046328,0.107826846177604,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,1.1920928955078125e-07,6.254432959660846e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,HB/dwt_72,dwt_72,72,72,222,pass,444,1517.916577000,0.016896000,26.2784088856639,0.134761071208533,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,1.0430812835693359e-07,6.6379619067280062e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,HB/ibm32,ibm32,32,32,126,pass,252,2257.201013000,0.016896000,14.9147726107822,0.0764860133886269,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,2.0861625671386719e-07,8.634447030214632e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,HB/jgl009,jgl009,9,9,50,pass,100,2215.513496000,0.019200000,5.20833333858819,0.0267094017363497,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,1.4877878129482269e-07,6.7683860028916958e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,HB/jgl011,jgl011,11,11,76,pass,152,2246.542508000,0.019712000,7.71103908297231,0.0395437901690887,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,3.4249387681484222e-07,7.7696376140159426e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,HB/lap_25,lap_25,25,25,169,pass,338,1191.553824000,0.017408000,19.4163599536008,0.0995710766851323,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,1.6414560377597809e-07,5.8648718516303799e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,HB/pores_1,pores_1,30,30,180,pass,360,2265.078510000,0.020224000,17.800633033184,0.0912852976060716,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,0.58671408612281084,4.1375115478027708e-07,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,HB/rgg010,rgg010,10,10,76,pass,152,1514.554421000,0.019456000,7.81250015996337,0.0400641033844275,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,2.6798807084560394e-07,5.4920703568825645e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,JGD_GL7d/GL7d10,GL7d10,1,60,8,pass,16,769.827911000,0.017408000,0.919117655525936,0.00471342387449198,2026-08-26T00:00:00.000Z,recovered-a100-sigma,incorrect,result_exceeds_tolerance,1.8415351845324039,0.83359978650492217,1.0000000000000001e-05,0.001,1
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,JGD_Homology/ch3-3-b1,ch3-3-b1,18,9,36,pass,72,824.557316000,0.017664000,4.07608697352877,0.0209030101206604,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,2.9802322387695312e-08,3.7047617562186e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,JGD_Homology/ch3-3-b2,ch3-3-b2,6,18,18,pass,36,1487.842178000,0.018688000,1.92636983487688,0.00987881966603528,2026-08-26T00:00:00.000Z,recovered-a100-sigma,incorrect,result_exceeds_tolerance,0.79855790734291077,0.99944663635355679,1.0000000000000001e-05,0.001,5
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,JGD_Homology/ch4-4-b1,ch4-4-b1,72,16,144,pass,288,1609.403752000,0.019200000,15.000000015134,0.0769230770006871,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,2.9802322387695312e-08,5.5135146996642435e-08,1.0000000000000001e-05,0.001,0
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,JGD_Homology/ch4-4-b3,ch4-4-b3,24,96,96,pass,192,1790.958865000,0.017152000,11.1940297080603,0.0574052805541556,2026-08-26T00:00:00.000Z,recovered-a100-sigma,incorrect,result_exceeds_tolerance,1.6249860264360905,3.265091606314364,1.0000000000000001e-05,0.001,20
2,ghost-a100-sigma-fp32-65536,ghost-sell-c32-sigma-65536,"GHOST SELL-C-sigma (C=32, sigma=65536)",sigma-65536,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500,ghost-a100-recovery-20260826,suitesparse_validation_100,JGD_Homology/klein-b1,klein-b1,30,10,60,pass,120,1509.031587000,0.019711999,6.08766257773581,0.0312187824499273,2026-08-26T00:00:00.000Z,recovered-a100-sigma,success,,2.9802322387695312e-08,5.5135146996642435e-08,1.0000000000000001e-05,0.001,0
